pos_x,pos_y,pos_z,box_pos_x,box_pos_y,box_pos_z,vel_x,vel_y,vel_z,t,change_pos,energy,collisions
-2.78906427580285e-07,-1.369101684647247e-08,-2.749032686833442e-10,2.1093572419713963e-08,3.630898315352756e-08,4.972509673131675e-08,-116.13238665088737,52.87871028993129,104.5449562065632,1.9999999999999997e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.800677514467939e-07,-1.3162229743573156e-08,7.705462933822878e-10,1.993224855320509e-08,3.683777025642688e-08,5.077054629338239e-08,-116.13238665088737,52.87871028993129,104.5449562065632,2.01e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.8122907531330273e-07,-1.2633442640673842e-08,1.8159958554479197e-09,1.8770924686696213e-08,3.7366557359326193e-08,1.8159958554480217e-09,-116.13238665088737,52.87871028993129,104.5449562065632,2.02e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.823903991798116e-07,-1.2104655537774529e-08,2.8614454175135515e-09,1.7609600820187338e-08,3.789534446222551e-08,2.8614454175136536e-09,-116.13238665088737,52.87871028993129,104.5449562065632,2.03e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.8355172304632044e-07,-1.1575868434875215e-08,3.906894979579183e-09,1.6448276953678463e-08,3.8424131565124824e-08,3.906894979579286e-09,-116.13238665088737,52.87871028993129,104.5449562065632,2.04e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.847130469128293e-07,-1.1047081331975901e-08,4.952344541644815e-09,1.5286953087169588e-08,3.895291866802414e-08,4.9523445416449176e-09,-116.13238665088737,52.87871028993129,104.5449562065632,2.0499999999999997e-09,1.6496222931140906e-09,9.025958419515344e-22,12
-2.8587437077933816e-07,-1.0518294229076588e-08,5.997794103710447e-09,1.4125629220660715e-08,3.9481705770923455e-08,5.997794103710549e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.06e-09,1.6496222931140906e-09,9.025958419515344e-22,13
-2.836312487759846e-07,-1.1597100501737733e-08,5.656408215522418e-09,1.636875122401425e-08,3.840289949826231e-08,5.65640821552252e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.0699999999999997e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.8138812677263104e-07,-1.2675906774398878e-08,5.315022327334389e-09,1.8611873227367784e-08,3.732409322560116e-08,5.3150223273344915e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.08e-09,2.512362159505618e-09,2.093576243045189e-21,13
-2.791450047692775e-07,-1.3754713047060023e-08,4.97363643914636e-09,2.0854995230721318e-08,3.6245286952940014e-08,4.9736364391464626e-09,224.3122003353534,-107.88062726611447,-34.13858881880291,2.09e-09,2.512362159505618e-09,2.093576243045189e-21,13
